OBJECTID,Incident_Num,Shooting_Date,District,Shooting_Type_V2,Victim_Gender,Victim_Race,Victim_Ethnicity_NIBRS,Multi_Victim,IsPrimaryIncident,HOUR_OF_DAY,DAY_OF_WEEK,YEAR,QUARTER,MONTH,NEIGHBORHOOD
4842,I162075905,2016/09/17 06:17:38+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,2,7,2016,3,9,Dorchester
4843,I162075905,2016/09/17 06:17:32+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,2,7,2016,3,9,Dorchester
4844,I162075905,2016/09/17 06:17:17+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,2,7,2016,3,9,Dorchester
4845,I162076439,2016/09/19 02:10:15+00,D14,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,1,2016,3,9,Allston
4846,I162077078,2016/09/21 00:06:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,3,2016,3,9,Dorchester
4847,I162077070,2016/09/21 00:34:28+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,20,3,2016,3,9,Roxbury
4848,I162077092,2016/09/21 00:34:27+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,1,0,20,3,2016,3,9,Roxbury
4849,I162077407,2016/09/22 01:16:40+00,B3,Non-Fatal,Male,Unknown,Unknown,0,1,21,4,2016,3,9,Mattapan
4850,I162077614,2016/09/22 20:24:19+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,5,2016,3,9,Roxbury
4851,I162078402,2016/09/25 18:08:14+00,D4,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,14,1,2016,3,9,Back Bay
4852,I162078997,2016/09/27 04:56:47+00,E13,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,3,2016,3,9,Jamaica Plain
4853,I162080713,2016/10/02 20:47:43+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,1,2016,4,10,Dorchester
4854,I162080292,2016/10/01 08:32:12+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,4,7,2016,4,10,Dorchester
4855,I162081928,2016/10/06 22:36:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,5,2016,4,10,Roxbury
4856,I162081907,2016/10/06 21:30:48+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,17,5,2016,4,10,Roxbury
4857,I162082657,2016/10/09 02:56:53+00,E13,Fatal,Male,White,Not Hispanic or Latinx,0,1,22,7,2016,4,10,Jamaica Plain
4858,I162082684,2016/10/09 05:03:01+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,1,1,2016,4,10,Mission Hill
4859,I162082704,2016/10/09 07:30:48+00,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,3,1,2016,4,10,Mattapan
4860,I162083769,2016/10/13 02:51:13+00,A7,Non-Fatal,Male,White,Hispanic or Latinx,1,1,22,4,2016,4,10,East Boston
4861,I162083769,2016/10/13 02:51:14+00,A7,Non-Fatal,Male,White,Hispanic or Latinx,1,0,22,4,2016,4,10,East Boston
4862,I162084852,2016/10/16 23:36:35+00,E13,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,19,1,2016,4,10,Jamaica Plain
4863,I162084533,2016/10/15 19:58:44+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,15,7,2016,4,10,Roxbury
4864,I162085177,2016/10/18 00:55:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,2,2016,4,10,Dorchester
4865,I162085432,2016/10/18 21:42:58+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,17,3,2016,4,10,Dorchester
4866,I162085838,2016/10/20 02:52:39+00,B2,Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,22,4,2016,4,10,Roxbury
4867,I162086029,2016/10/20 19:40:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,15,5,2016,4,10,Roxbury
4868,I162086460,2016/10/22 18:30:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,14,7,2016,4,10,Dorchester
4869,I162086825,2016/10/23 15:30:00+00,E18,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,11,1,2016,4,10,Hyde Park
4870,I162088581,2016/10/29 18:27:35+00,C11,Fatal,Female,Black or African American,Not Hispanic or Latinx,1,1,14,7,2016,4,10,Dorchester
4871,I162088581,2016/10/29 18:27:20+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,14,7,2016,4,10,Dorchester
4872,I162088605,2016/10/29 20:24:05+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,7,2016,4,10,Dorchester
4873,I162087894,2016/10/27 03:51:29+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,23,4,2016,4,10,Dorchester
4874,I162087131,2016/10/24 17:33:49+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,13,2,2016,4,10,Roxbury
4875,I162089429,2016/11/01 18:16:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,14,3,2016,4,11,Dorchester
4876,I162090282,2016/11/04 04:04:36+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,6,2016,4,11,Jamaica Plain
4877,I162090277,2016/11/04 03:45:20+00,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,23,5,2016,4,11,Dorchester
4878,I162090649,2016/11/05 14:10:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,10,7,2016,4,11,Roxbury
4879,I162090597,2016/11/05 04:39:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,7,2016,4,11,Dorchester
4880,I162090599,2016/11/05 05:16:00+00,B3,Non-Fatal,Male,White,Hispanic or Latinx,0,1,1,7,2016,4,11,Dorchester
4881,I162091087,2016/11/07 00:47:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,0,1,19,1,2016,4,11,Roxbury
4882,I162091158,2016/11/07 07:40:37+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,2,2,2016,4,11,Dorchester
4883,I162091710,2016/11/09 03:45:28+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,3,2016,4,11,Mattapan
4884,I162092746,2016/11/12 21:46:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,16,7,2016,4,11,Dorchester
4885,I162092746,2016/11/12 21:46:46+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,16,7,2016,4,11,Dorchester
4886,I162092748,2016/11/12 22:46:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,1,1,17,7,2016,4,11,Mission Hill
4887,I162092748,2016/11/12 22:46:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,1,0,17,7,2016,4,11,Mission Hill
4888,I162092494,2016/11/11 22:27:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,17,6,2016,4,11,Roxbury
4889,I162093213,2016/11/14 19:55:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,14,2,2016,4,11,Dorchester
4890,I162093358,2016/11/15 04:31:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,23,2,2016,4,11,Dorchester
4891,I162093473,2016/11/15 17:16:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,12,3,2016,4,11,Mattapan
4892,I162094630,2016/11/19 07:54:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,2,7,2016,4,11,Longwood
4893,I162095771,2016/11/23 04:51:00+00,B2,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,23,3,2016,4,11,Roxbury
4894,I162097703,2016/11/30 19:20:00+00,C11,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,14,4,2016,4,11,Dorchester
4895,I162097868,2016/12/01 11:23:29+00,A1,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,6,5,2016,4,12,Chinatown
4896,I162098159,2016/12/02 04:51:09+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,0,1,23,5,2016,4,12,Dorchester
4897,I162097972,2016/12/01 18:30:56+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,13,5,2016,4,12,Roxbury
4898,I162098714,2016/12/04 00:16:58+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,7,2016,4,12,Roxbury
4899,I162098343,2016/12/02 20:08:27+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,15,6,2016,4,12,Roxbury
4900,I162098292,2016/12/02 18:30:32+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,13,6,2016,4,12,Mattapan
4901,I162098498,2016/12/03 05:12:00+00,E18,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,7,2016,4,12,Hyde Park
4902,I162100329,2016/12/09 09:09:00+00,E13,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,4,6,2016,4,12,Jamaica Plain
4903,I162100193,2016/12/08 22:06:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,17,5,2016,4,12,Roxbury
4904,I162101004,2016/12/11 21:13:00+00,B2,Non-Fatal,Male,White,Not Hispanic or Latinx,1,1,16,1,2016,4,12,Mission Hill
4905,I162101004,2016/12/11 21:13:00+00,B2,Non-Fatal,Male,White,Not Hispanic or Latinx,1,0,16,1,2016,4,12,Mission Hill
4906,I162101031,2016/12/11 23:19:00+00,D4,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,18,1,2016,4,12,Roxbury
4907,I162101528,2016/12/13 17:45:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,12,3,2016,4,12,Dorchester
4908,I162101528,2016/12/13 17:45:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,1,0,12,3,2016,4,12,Dorchester
4909,I162101338,2016/12/12 19:55:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,14,2,2016,4,12,Dorchester
4910,I162101338,2016/12/13 01:03:00+00,C6,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,20,2,2016,4,12,Dorchester
4911,I162102801,2016/12/18 01:08:14+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,7,2016,4,12,Dorchester
4912,I162104173,2016/12/22 21:52:00+00,B3,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,16,5,2016,4,12,Dorchester
4913,I162104474,2016/12/23 23:15:21+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,6,2016,4,12,Dorchester
4914,I162105651,2016/12/29 03:00:04+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,4,2016,4,12,Dorchester
4915,I162106131,2016/12/30 21:29:57+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,6,2016,4,12,Dorchester
4916,I172000047,2017/01/01 07:27:00+00,B3,Non-Fatal,Male,White,Hispanic or Latinx,1,1,2,1,2017,1,1,Dorchester
4917,I172000047,2017/01/01 07:27:00+00,B3,Non-Fatal,Male,White,Hispanic or Latinx,1,0,2,1,2017,1,1,Dorchester
4918,I172002024,2017/01/08 18:44:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,13,1,2017,1,1,Dorchester
4919,I172002902,2017/01/11 23:45:43+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,18,4,2017,1,1,Dorchester
4920,I172002902,2017/01/11 23:45:52+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,18,4,2017,1,1,Dorchester
4921,I172002970,2017/01/12 03:29:47+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,4,2017,1,1,Hyde Park
4922,I172002376,2017/01/10 00:27:14+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,2,2017,1,1,Roxbury
4923,I172004542,2017/01/18 03:05:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,3,2017,1,1,Jamaica Plain
4924,I172005603,2017/01/21 21:45:00+00,C11,Non-Fatal,Male,White,Not Hispanic or Latinx,0,1,16,7,2017,1,1,Dorchester
4925,I172005625,2017/01/21 23:34:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,7,2017,1,1,Dorchester
4926,I172005430,2017/01/21 07:19:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,2,7,2017,1,1,Roxbury
4927,I172005430,2017/01/21 07:19:00+00,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,2,7,2017,1,1,Roxbury
4928,I172006241,2017/01/24 02:43:00+00,B3,Non-Fatal,Male,White,Hispanic or Latinx,0,1,21,2,2017,1,1,Mattapan
4929,I172007832,2017/01/29 12:03:07+00,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,7,1,2017,1,1,Dorchester
4930,I172007456,2017/01/28 03:48:22+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,6,2017,1,1,Hyde Park
4931,I172008070,2017/01/30 11:24:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,6,2,2017,1,1,Dorchester
4932,I172008274,2017/01/30 23:39:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,2,2017,1,1,Roxbury
4933,I172009839,2017/02/05 22:49:00+00,C11,Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,17,1,2017,1,2,Dorchester
4934,I172009433,2017/02/04 05:17:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,0,7,2017,1,2,Dorchester
4935,I172010342,2017/02/08 01:12:07+00,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,20,3,2017,1,2,Mattapan
4936,I172013903,2017/02/20 19:08:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,14,2,2017,1,2,Mission Hill
4937,I172014254,2017/02/21 22:09:00+00,B2,Fatal,Male,Black or African American,Hispanic or Latinx,0,1,17,3,2017,1,2,Roxbury
4938,I172014595,2017/02/23 01:50:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,20,4,2017,1,2,Roxbury
4939,I172014595,2017/02/23 01:50:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,20,4,2017,1,2,Roxbury
4940,I172014851,2017/02/24 02:59:32+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,21,5,2017,1,2,Roxbury
4941,I172014754,2017/02/23 20:33:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,15,5,2017,1,2,Dorchester
4942,I172016312,2017/02/28 23:16:15+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,3,2017,1,2,Dorchester
4943,I172018486,2017/03/08 20:51:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,15,4,2017,1,3,Dorchester
4944,I172019108,2017/03/10 21:36:00+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,0,1,16,6,2017,1,3,Dorchester
4945,I172020425,2017/03/16 02:03:29+00,A15,Non-Fatal,Female,White,Not Hispanic or Latinx,0,1,22,4,2017,1,3,Charlestown
4946,I172024478,2017/03/29 23:56:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,19,4,2017,1,3,Mattapan
4947,I172023114,2017/03/25 01:37:00+00,B3,Non-Fatal,Female,White,Hispanic or Latinx,0,1,21,6,2017,1,3,Mattapan
4948,I172024077,2017/03/28 17:00:53+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,13,3,2017,1,3,Dorchester
4949,I172024785,2017/03/30 23:20:14+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,5,2017,1,3,Roxbury
4950,I172026026,2017/04/04 03:07:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,23,2,2017,2,4,Roxbury
4951,I172026760,2017/04/06 19:10:00+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,0,1,15,5,2017,2,4,Dorchester
4952,I172027171,2017/04/08 01:05:38+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,21,6,2017,2,4,Dorchester
4953,I172027171,2017/04/08 01:05:50+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,0,21,6,2017,2,4,Dorchester
4954,I172028061,2017/04/11 12:40:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,8,3,2017,2,4,Dorchester
4955,I172028270,2017/04/11 23:44:00+00,C6,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,3,2017,2,4,South Boston
4956,I172028584,2017/04/12 23:59:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,4,2017,2,4,Dorchester
4957,I172028574,2017/04/12 23:34:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,4,2017,2,4,Hyde Park
4958,I172028837,2017/04/13 20:13:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,5,2017,2,4,Dorchester
4959,I172029267,2017/04/15 05:18:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,7,2017,2,4,Dorchester
4960,I172029428,2017/04/15 20:54:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,7,2017,2,4,Dorchester
4961,I172029794,2017/04/17 04:48:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,2,2017,2,4,Roxbury
4962,I172031211,2017/04/22 00:53:00+00,B2,Fatal,Male,Black or African American,Hispanic or Latinx,0,1,20,6,2017,2,4,Roxbury
4963,I172031721,2017/04/24 00:33:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,20,1,2017,2,4,Dorchester
4964,I172031721,2017/04/24 00:33:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,0,20,1,2017,2,4,Dorchester
4965,I172031736,2017/04/24 02:13:00+00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,22,1,2017,2,4,Dorchester
4966,I172031740,2017/04/24 02:52:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,1,2017,2,4,Dorchester
4967,I172031688,2017/04/23 22:40:00+00,E13,Non-Fatal,Female,White,Hispanic or Latinx,0,1,18,1,2017,2,4,Roxbury
4968,I172032046,2017/04/25 00:01:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,20,2,2017,2,4,Dorchester
4969,I172032046,2017/04/25 00:01:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,20,2,2017,2,4,Dorchester
4970,I172032306,2017/04/25 22:23:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,3,2017,2,4,Jamaica Plain
4971,I172033610,2017/04/30 04:06:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,1,2017,2,4,Jamaica Plain
4972,I172033274,2017/04/29 02:28:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,22,6,2017,2,4,Dorchester
4973,I172033274,2017/04/29 02:28:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,22,6,2017,2,4,Dorchester
4974,I172033274,2017/04/29 02:28:00+00,C11,Non-Fatal,Male,White,Not Hispanic or Latinx,1,1,22,6,2017,2,4,Dorchester
4975,I172032945,2017/04/28 01:57:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,21,5,2017,2,4,Mattapan
4976,I172034834,2017/05/04 01:54:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,21,4,2017,2,5,Roxbury
4977,I172034834,2017/05/04 01:54:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,1,21,4,2017,2,5,Roxbury
4978,I172035478,2017/05/06 01:35:38+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,21,6,2017,2,5,Mattapan
4979,I172035784,2017/05/07 06:04:01+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,0,1,2,1,2017,2,5,Dorchester
4980,I172037777,2017/05/14 02:57:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,7,2017,2,5,Dorchester
4981,I172037641,2017/05/13 17:40:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,1,1,13,7,2017,2,5,Roxbury
4982,I172037641,2017/05/13 17:40:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,13,7,2017,2,5,Roxbury
4983,I172036626,2017/05/10 03:33:00+00,C6,Non-Fatal,Male,White,Hispanic or Latinx,0,1,23,3,2017,2,5,South Boston
4984,I172036620,2017/05/10 02:36:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,3,2017,2,5,Mattapan
4985,I172040229,2017/05/22 02:10:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,1,2017,2,5,Roxbury
4986,I172040210,2017/05/22 00:55:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,1,2017,2,5,Dorchester
4987,I172039930,2017/05/21 00:16:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,7,2017,2,5,Dorchester
4988,I172039041,2017/05/18 05:48:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,5,2017,2,5,Dorchester
4989,I172040839,2017/05/24 02:52:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,0,1,22,3,2017,2,5,Roxbury
4990,I172041785,2017/05/27 02:05:40+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,22,6,2017,2,5,Dorchester
4991,I172041830,2017/05/27 06:36:15+00,A1,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,2,7,2017,2,5,Chinatown
4992,I172041368,2017/05/25 19:02:10+00,C11,Non-Fatal,Male,Black or African American,Hispanic or Latinx,0,1,15,5,2017,2,5,Dorchester
4993,I172044027,2017/06/03 18:24:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,14,7,2017,2,6,Dorchester
4994,I172044102,2017/06/03 22:38:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,7,2017,2,6,Mattapan
4995,I172043809,2017/06/02 21:58:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,17,6,2017,2,6,Dorchester
4996,I172043809,2017/06/02 21:58:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,17,6,2017,2,6,Dorchester
4997,I172045331,2017/06/08 01:56:00+00,D4,Non-Fatal,Female,White,Hispanic or Latinx,0,1,21,4,2017,2,6,Roxbury
4998,I172045333,2017/06/08 02:07:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,0,1,22,4,2017,2,6,Roxbury
4999,I172045363,2017/06/08 02:28:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,22,4,2017,2,6,Dorchester
5000,I172045363,2017/06/08 02:28:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,22,4,2017,2,6,Dorchester
5001,I172045372,2017/06/08 05:42:00+00,B2,Non-Fatal,Male,White,Hispanic or Latinx,0,1,1,5,2017,2,6,Roxbury
5002,I172046423,2017/06/11 16:48:28+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,12,1,2017,2,6,Dorchester
5003,I172046001,2017/06/10 05:02:23+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,1,7,2017,2,6,Roxbury
5004,I172045999,2017/06/10 04:33:13+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,0,7,2017,2,6,Mission Hill
5005,I172045865,2017/06/09 19:32:44+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,15,6,2017,2,6,Dorchester
5006,I172046900,2017/06/13 00:44:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,20,2,2017,2,6,Mattapan
5007,I172046848,2017/06/12 21:44:00+00,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,17,2,2017,2,6,Jamaica Plain
5008,I172047249,2017/06/13 22:59:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,18,3,2017,2,6,Mattapan
5009,I172047604,2017/06/14 22:11:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,0,1,18,4,2017,2,6,Jamaica Plain
5010,I172048352,2017/06/17 02:32:00+00,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,22,6,2017,2,6,Dorchester
5011,I172048679,2017/06/18 07:02:00+00,C11,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,1,1,3,1,2017,2,6,Dorchester
5012,I172048679,2017/06/18 07:02:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,3,1,2017,2,6,Dorchester
5013,I172049184,2017/06/20 00:30:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,20,2,2017,2,6,Dorchester
5014,I172049184,2017/06/20 00:30:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,0,20,2,2017,2,6,Dorchester
5015,I172050864,2017/06/25 04:11:00+00,E13,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,0,1,0,1,2017,2,6,Jamaica Plain
5016,I172050866,2017/06/25 04:10:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,0,1,0,1,2017,2,6,Roxbury
5017,I172050746,2017/06/24 20:29:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,16,7,2017,2,6,Dorchester
5018,I172051446,2017/06/26 23:27:00+00,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,19,2,2017,2,6,Mattapan
5019,I172051378,2017/06/26 20:14:00+00,C11,Non-Fatal,Male,White,Hispanic or Latinx,0,1,16,2,2017,2,6,Dorchester
5020,I172051926,2017/06/28 13:52:00+00,C11,Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,9,4,2017,2,6,Dorchester
5021,I172052230,2017/06/29 06:11:00+00,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,0,1,2,5,2017,2,6,Dorchester
5022,I172052541,2017/06/30 04:42:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,1,1,0,6,2017,2,6,Jamaica Plain
5023,I172052541,2017/06/30 04:42:00+00,E13,Non-Fatal,Male,White,Hispanic or Latinx,1,0,0,6,2017,2,6,Jamaica Plain
5024,I172052482,2017/06/30 00:30:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,1,1,20,5,2017,2,6,Dorchester
